Model,Accuracy,F1 Score,Log Loss
Logistic Regression,0.7159090909090909,0.4186046511627907,0.5500352252487548
SVM,0.7215909090909091,0.3287671232876712,0.5788018211745093
Random Forest,0.9034090909090909,0.8468468468468469,0.3011331790870726
